Nº SAG,NOMBRE COMERCIAL ,APTITUD,SERIE,FORMULACIÓN (CÓDIGO),FORMULADO EN QUE SE BASA,INGREDIENTE ACTIVO EN QUE SE BASA,TOXICIDAD (CÓDIGO),TOXICIDAD PECES Y ALGAS,TOXICIDAD AVES,TOXICIDAD ABEJAS,INFLAMABLE,CORROSIVO,EXPLOSIVO,MODO DE ACCIÓN,TIPO DE PLAGUICIDA (NATURAL),REPRESENTANTE LEGAL,TITULAR AUTORIZACIÓN,FECHA PRIMERA AUTORIZACION,FECHA VENCIMIENTO,NORMA DE AUTORIZACION,SITUACION ,PAIS DE DESTINO (SOLO EXPORTACION)
3695,ELIBRA,HERBICIDA,3000 Herbicida,Dispersión Oleosa (OD),NO APLICA,"Sustancias activas de CALLISTO 480 SC, Autorización SAG N° 3.476 y SANSON OD,  Autorización SAG N° 3.688",II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,12/28/2023,12/28/2033,1557/2014,VIGENTE,NO APLICA
3696,TERBUTILAZINA 75 DF,HERBICIDA,3000 Herbicida,Granulado Dispersable (WG),"CLICK 75 DF, Autorización SAG N° 3.511",NO APLICA,III (Poco Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,ROBERTO VICCINELLI,SIPCAM CHILE SpA. ,12/28/2023,12/28/2033,1557/2014,VIGENTE,NO APLICA
4006,DORMEX,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,II (Moderadamente Peligroso),Tóxico,Moderadamente Tóxico,Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento de contacto,,JORGE NITSCHE MELI,BASF CHILE S.A.,08/02/2000,08/02/2030,3670/1999,VIGENTE,NO APLICA
4013,ETHREL 48 SL,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Nocivo,No Tóxico,NO INFLAMABLE,NO CORROSIVO,EXPLOSIVO,Regulador de crecimiento,,Vicente Bravo Palma,BAYER S.A.,09/04/2000,09/04/2030,3670/1999,VIGENTE,NO APLICA
4017,PHEROCON OFM,FEROMONA,4000 Misceláneo,Evaporable (VP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Trampa de feromona sexual ,Semioquímico,CAROLINA SANHUEZA RODRIGUEZ ,CSR CONSULTING SpA,09/04/2000,09/04/2030,3670/1999,VIGENTE,NO APLICA
4018,PHEROCON CM,FEROMONA,4000 Misceláneo,Evaporable (VP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Produce Daño,No Produce Daño,No Produce Daño,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Trampa de feromona sexual ,Semioquímico,CAROLINA SANHUEZA RODRIGUEZ ,CSR CONSULTING SpA,09/04/2000,09/04/2030,3670/1999,VIGENTE,NO APLICA
4025,CYCOCEL EXTRA,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,III (Poco Peligroso),Baja Toxicidad,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento,,JORGE NITSCHE MELI,BASF CHILE S.A.,07/04/2001,07/04/2031,3670/1999,VIGENTE,NO APLICA
4028,PHEROCON TBM,FEROMONA,4000 Misceláneo,Evaporable (VP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Trampa de feromona sexual ,Semioquímico,CAROLINA SANHUEZA RODRIGUEZ Y ALVARO ARROYO FERNANDEZ ,CSR CONSULTING SpA,07/09/2000,07/09/2030,3670/1999,VIGENTE,NO APLICA
4031,CULTAR,FITORREGULADOR,4000 Misceláneo,Suspensión Concentrada (SC),NO APLICA,,III (Poco Peligroso),Muy Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,12/29/2001,12/29/2026,3670/1999,VIGENTE,NO APLICA
4043,PROVIDE,FITORREGULADOR,4000 Misceláneo,Otro Líquido (AL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,05/19/1988,06/11/2028,1178/1984,VIGENTE,NO APLICA
4048,BIOREND,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Bioestimulante protector,Químico Natural,PAUL ABOGABIR SAID,BIOAGRO S.A.,01/03/1989,09/21/2027,1178/1984,VIGENTE,NO APLICA
4050,PROGIBB 4% SL,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,05/05/1989,01/21/2028,1178/1984,VIGENTE,NO APLICA
4056,GIBERPLUS,FITORREGULADOR,4000 Misceláneo,Polvo Soluble (PS),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Translaminar,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,06/02/1989,07/27/2031,1178/1984,VIGENTE,
4061,STIK,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Agente humectante, adherente y dipersante",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,10/04/1989,02/01/2027,1178/1984,VIGENTE,NO APLICA
4062,GIBERPLUS 2.0,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico translaminar,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,10/17/1989,10/17/2029,1178/1984,VIGENTE,
4067,UNIFILM 707,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Surfactante no iónico extensor y activador,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,07/05/1990,07/05/2030,1178/1984,VIGENTE,NO APLICA
4068,ISOMATE M 100,FEROMONA,4000 Misceláneo,Evaporable (VP),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Difusor de feromona para confusión sexual,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,08/27/1990,08/27/2030,1178/1984,VIGENTE,NO APLICA
4073,SHIELD LIQUID DPA 31% Super refinado,FITORREGULADOR,4000 Misceláneo,Concentrado Emulsionable (EC),NO APLICA,,III (Poco Peligroso),Tóxico,Prácticamente No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,12/18/1990,12/15/2027,1178/1984,VIGENTE,NO APLICA
4084,SITOFEX KT-30,FITORREGULADOR,4000 Misceláneo,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Moderadamente Tóxico,No Tóxico,Muy Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Claudio Betanzo Greco,BASF CHILE S.A.,10/10/1991,06/28/2027,1178/1984,VIGENTE,NO APLICA
4086,NU FILM 17,COADYUVANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Agente adherente y extendedor,Químico natural,VÍCTOR ALEJANDRO ARMSTRONG SABAT,ASESORÍA AGRÍCOLA ARMSTRONG Y CÍA. LTDA.,05/07/1992,07/31/2031,1178/1984,VIGENTE,NO APLICA
4090,PROPULSE,FITORREGULADOR,4000 Misceláneo,Tabletas (TB),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento ,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,06/23/1992,11/08/2026,1178/1984,VIGENTE,NO APLICA
4093,ACIGIB,FITORREGULADOR,4000 Misceláneo,Tabletas (TB),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,08/11/1992,08/18/2026,1178/1984,VIGENTE,NO APLICA
4095,BIOZYME TF,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"FITORREGULAOR, INCREMENTA RENDIMIENTO Y CALIDAD",,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,10/09/1992,02/23/2027,1178/1984,VIGENTE,NO APLICA
4101,ETHERFON 500 GL,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,05/24/1993,05/24/2028,1178/1984,VIGENTE,NO APLICA
4102,ACIGIB POLVO,FITORREGULADOR,4000 Misceláneo,Polvo Soluble (PS),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,FITORREGULADOR ESTIMULA EL DESARROLLO DE LAS PLANTAS,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,06/11/1993,06/11/2028,1178/1984,VIGENTE,NO APLICA
4106,BOND,COADYUVANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Adherente-surfactante,,GUILLERMO GABRIEL PINTO,NUTRIEN AG SOLUTIONS CHILE S.A.,07/27/1993,01/21/2028,1178/1984,VIGENTE,NO APLICA
4107,LI 700,COADYUVANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Potencialmente Tóxico ,No Tóxico,No Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,Coadyuvante ,Químico natural,GUILLERMO GABRIEL PINTO,NUTRIEN AG SOLUTIONS CHILE S.A.,07/27/1993,02/06/2028,1178/1984,VIGENTE,NO APLICA
4120,ACTIVOL 4%,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,09/13/1994,04/02/2028,1178/1984,VIGENTE,NO APLICA
4123,ETHYLEN 48 SL,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,sistémico,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,12/02/1994,07/03/2031,1178/1984,VIGENTE,
4124,ROYAL MH-30,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Moderadamente Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,12/15/1994,09/03/2028,1178/1984,VIGENTE,NO APLICA
4126,VAPOR GARD,COADYUVANTE - ANTITRANSPIRANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Contacto,Químico Natural,VÍCTOR ALEJANDRO ARMSTRONG SABAT,ASESORÍA AGRÍCOLA ARMSTRONG Y CÍA. LTDA.,01/24/1995,10/16/2027,1178/1984,VIGENTE,NO APLICA
4129,MODDUS 250 EC,FITORREGULADOR,4000 Misceláneo,Concentrado Emulsionable (EC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,Baja Toxicidad,Baja Toxicidad,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,05/18/1995,05/18/2030,1178/1984,VIGENTE,NO APLICA
4130,CYANAMIDA 50%,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Tóxico,Ligeramente Tóxico,Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,06/12/1995,06/12/2030,1178/1984,VIGENTE,NO APLICA
4131,RE TAIN,FITORREGULADOR,4000 Misceláneo,Polvo Soluble (PS),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,INHIBE LA SIINTESIS DE ETILENO Y DISMINUYE LA CAIDA DE PRECOSECHA DE LA FRUTA,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,07/11/1995,07/11/2030,1178/1984,VIGENTE,NO APLICA
4133,CYANAMIDA 50,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Tóxico,Ligeramente Tóxico,Tóxico,NO INFLAMABLE,CORROSIVO,NO EXPLOSIVO,REGULADOR DE CRECIMIENTO,,FACUNDO GANIN,POINT INDUSTRIAL Y COMERCIAL CHILE S.A.,07/13/1995,07/13/2030,1178/1984,VIGENTE,NO APLICA
4134,PRIME+ 125 EC,FITORREGULADOR,4000 Misceláneo,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Muy Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,Pedro Donoso Maslov,SYNGENTA S.A.,07/21/1995,07/21/2030,1178/1984,VIGENTE,NO APLICA
4136,MAXIM,FITORREGULADOR,4000 Misceláneo,Tabletas Solubles (ST),,,III (Poco Peligroso),Prácticamente No Tóxico,Ligeramente Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento ,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,09/20/1995,02/10/2031,1178/1984,VIGENTE,NO APLICA
4137,NAA-800,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,II (Moderadamente Peligroso),Prácticamente No Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,RAÚL LUNA CATALÁN,ACRES S.A.,09/26/1995,09/26/2030,1178/1984,VIGENTE,NO APLICA
4139,INDICATE 5,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Agente buffer y surfactante con indicador de pH,,FELIPE GUEVARA SINCLAIR,MARKETING ARM INTERNATIONAL CHILE S.A.,02/16/1996,01/25/2027,1178/1984,VIGENTE,NO APLICA
4141,ACIDO GIBERELICO (A.G.3) SL,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento ,,CARLA BRIGANDO,AGROCONNEXION SPA,04/28/1997,03/30/2031,1178/1984,VIGENTE,NO APLICA
4142,ACIDO GIBERELICO (A.G.3) TB,FITORREGULADOR,4000 Misceláneo,Tabletas (TB),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento ,,CARLA BRIGANDO,AGROCONNEXION SPA,06/19/1997,03/30/2031,1178/1984,VIGENTE,NO APLICA
4143,SILWET L-77 Ag,COADYUVANTE,4000 Misceláneo,Concentrado Dispersable (DC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Coadyuvante,,RODRIGO DIAZ MARTINEZ,DÍAZ Y GARCIA LTDA,11/19/1997,11/19/2027,1178/1984,VIGENTE,NO APLICA
4145,DASH HC,COADYUVANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),No Indica,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Coadyuvante,,JORGE NITSCHE MELI,BASF CHILE S.A.,04/17/1998,04/17/2028,1178/1984,VIGENTE,NO APLICA
4146,"CPPU 0,1 SL",FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,09/15/1998,09/15/2028,1178/1984,VIGENTE,
4147,RAK CAROZOS (Cydia molesta),FEROMONA,4000 Misceláneo,Evaporable (VP),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Difusor de feromona para confusión sexual,Semioquímico,JORGE NITSCHE MELI,BASF CHILE S.A.,05/18/2000,01/19/2027,3670/1999,VIGENTE,NO APLICA
4148,RAK POMÁCEAS (Cydia pomonella),FEROMONA,4000 Misceláneo,Evaporable (VP),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Difusor de feromona para confusión sexual,Semioquímico,JORGE NITSCHE MELI,BASF CHILE S.A.,05/18/2000,01/19/2027,3670/1999,VIGENTE,NO APLICA
4150,BRASINOST-1,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,Químico Natural / Químico Sintético,MARÍA EUGENIA REYES RIZ,IONA LTDA.,05/07/1999,05/07/2027,1178/1984,VIGENTE,
4152,BREAK,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),Moderadamente Tóxico,No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Coadyuvante,,"Rubén Roca
Felipe Schneider
Patricio Couso
Claudio Betanzo Greco",BASF CHILE S.A.,08/03/1999,06/05/2031,1178/1984,VIGENTE,NO APLICA
4154,B-2000,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Incrementa rendimiento y capacidad de tolerancia a plagas y enfermedades,Químico natural,MARÍA EUGENIA REYES RIZ,IONA LTDA.,10/18/1999,10/18/2027,1178/1984,VIGENTE,
4156,"SMARTFRESH 0,14%",FITORREGULADOR,4000 Misceláneo,Polvo Soluble (PS),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Denny Francisco Vidal Dote,AGROFRESH CHILE COMERCIAL LTDA.,04/25/2001,04/20/2031,3670/1999,VIGENTE,NO APLICA
4157,PERLAN,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,CARLA BRIGANDO,AGROCONNEXION SPA,03/06/2000,07/18/2026,3670/1999,VIGENTE,NO APLICA
4160,CYLEX,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,07/03/2000,06/28/2027,3670/1999,VIGENTE,NO APLICA
4161,NO SCALD DPA EC-283,ANTIESCALDANTE,4000 Misceláneo,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Reductor del escaldado,,CRISTIÁN MATÍAS KONEKAMP KÜSCH,UPL CHILE S.A.,09/01/2000,09/14/2026,3670/1999,VIGENTE,NO APLICA
4162,GIBERPLUS TABLETAS,FITORREGULADOR,4000 Misceláneo,Tabletas (TB),NO APLICA,,IV (Productos Que Normalmente No Ofrecen Peligro),Prácticamente No Tóxico,Prácticamente No Tóxico,Virtualmente No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Estimula creciemiento y desarrollo de plantas,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,01/29/2001,08/23/2027,3670/1999,CANCELADO,
4164,SILWET 408,COADYUVANTE,4000 Misceláneo,Concentrado Dispersable (DC),,,IV (Productos Que Normalmente No Ofrecen Peligro),Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Coadyuvante,,RODRIGO DIAZ MARTINEZ,DÍAZ Y GARCIA LTDA,04/05/2001,04/05/2026,3670/1999,VIGENTE,NO APLICA
4168,BERELEX 4%,FITORREGULADOR,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,sistémico,,ANDREAS GATHMANN,SUMITOMO CHEMICAL CHILE S.A.,08/14/2001,08/14/2031,3670/1999,VIGENTE,NO APLICA
4171,INDUCE pH 900 SL,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Surfactante no iónico humectante, adherente y tamponador de pH",Químico Natural / Químico Natural / Químico Natural / Químico Sintético / Químico Sintético / Químico Sintético / Químico Sintético,Vicente Bravo Palma,BAYER S.A.,09/24/2001,09/24/2031,3670/1999,VIGENTE,NO APLICA
4172,ZOOM 50,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),,,III (Poco Peligroso),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Coadyuvante,,Gabriel Ormeño Hofer ,ANASAC CHILE S.A.,11/09/2001,11/09/2031,3670/1999,VIGENTE,
4173,SPROUT NIP 3 EC,FITORREGULADOR,4000 Misceláneo,Concentrado Emulsionable (EC),,,II (Moderadamente Peligroso),Moderadamente Tóxico,Prácticamente No Tóxico,Prácticamente No Tóxico,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Inhibidor de brotación,,GUILLERMO GABRIEL PINTO,NUTRIEN AG SOLUTIONS CHILE S.A.,03/15/2002,03/15/2027,3670/1999,VIGENTE,NO APLICA
4174,"SMARTFRESH TECHNOLOGY 3,3",FITORREGULADOR,4000 Misceláneo,Polvo Soluble (PS),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Sistémico,,Denny Francisco Vidal Dote,AGROFRESH CHILE COMERCIAL LTDA.,03/18/2002,03/18/2027,3670/1999,VIGENTE,NO APLICA
4175,GIBGRO 20%,FITORREGULADOR,4000 Misceláneo,Tabletas (TB),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Regulador de crecimiento de contacto,,Ricardo Letelier C.,SUMITOMO CHEMICAL CHILE S.A.,03/25/2002,03/25/2027,3670/1999,VIGENTE,NO APLICA
4177,INEX - A,COADYUVANTE,4000 Misceláneo,Concentrado Soluble (SL),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Indica,No Indica,No Indica,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,"Coadyuvante, surfactante y penetrante",,IVAN ALBERTO PINI GIUSSIANO,COSMOCEL CHILE S.A. ,04/08/2002,04/08/2027,3670/1999,VIGENTE,NO APLICA
4178,SPROUT NIP 7A,FITORREGULADOR,4000 Misceláneo,Aerosol (AE),,,II (Moderadamente Peligroso),No Indica,No Indica,No Indica,INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Inhibidor de brotación,,GUILLERMO GABRIEL PINTO,NUTRIEN AG SOLUTIONS CHILE S.A.,03/12/2002,03/12/2027,3670/1999,VIGENTE,NO APLICA
4179,CHECKMATE OFM-F,FEROMONA,4000 Misceláneo,Suspensión De Encapsulado (CS),,,IV (Productos Que Normalmente No Ofrecen Peligro),No Tóxico,No Tóxico,No Tóxico,NO INFLAMABLE,NO CORROSIVO,NO EXPLOSIVO,Aspersión de feromona para confusión sexual,Semioquímico,Felipe Guevara Sinclair,SUTERRA CHILE BIOCONTROL LIMITADA,05/16/2002,05/16/2027,3670/1999,VIGENTE,NO APLICA
